year_month,sharpe,total_profit,win_rate,num_trades,report
2023-03,-2.7402295165427,-1165.1274788367627,0.25,4,SL1.5_PT2.5
2023-04,0.10893266319238876,46.317448396970576,1.0,1,SL1.5_PT2.5
2023-05,-0.9202459604481078,-391.2825,0.0,1,SL1.5_PT2.5
2023-06,-4.563742020539249,-1940.4729429967915,0.0,2,SL1.5_PT2.5
2023-07,4.550261984258789,1934.7413206668868,1.0,1,SL1.5_PT2.5
2023-08,0.0,0.0,,0,SL1.5_PT2.5
2023-09,-4.352087757977761,-1850.478949488373,0.3333333333333333,3,SL1.5_PT2.5
2023-10,-2.927087492948444,-1244.5782553632666,0.0,3,SL1.5_PT2.5
2023-11,-0.43371828376491645,-184.4141475878998,0.0,1,SL1.5_PT2.5
2023-12,-3.3084552147456914,-1406.733290014512,0.0,2,SL1.5_PT2.5
2024-01,0.1416721356079192,60.23805567591137,0.5,2,SL1.5_PT2.5
2024-02,-1.1477183524447487,-488.00225759402935,0.5,2,SL1.5_PT2.5
2024-03,0.6902374255155524,293.4843911923031,1.0,1,SL1.5_PT2.5
2024-04,-3.334545476425646,-1417.8266968367661,0.0,2,SL1.5_PT2.5
2024-05,-1.2005507644926463,-510.46625,0.0,1,SL1.5_PT2.5
2024-06,-1.8511038962295607,-787.077141771693,0.5,2,SL1.5_PT2.5
2024-07,-2.116612744472792,-899.969749159118,0.0,2,SL1.5_PT2.5
2024-08,-1.1317967559534199,-481.2325,0.0,1,SL1.5_PT2.5
2024-09,-1.258727233256607,-535.2025,0.0,1,SL1.5_PT2.5
2024-10,6.304038811249969,2680.4356358834675,0.5,4,SL1.5_PT2.5
2024-11,4.194671889924417,1783.5467628351555,1.0,1,SL1.5_PT2.5
2024-12,-0.8779358013470453,-373.2925,0.0,1,SL1.5_PT2.5
2025-01,-0.9826242417095019,-417.805332901952,0.0,1,SL1.5_PT2.5
2025-02,-2.535104370408743,-1077.9096224790155,0.5,2,SL1.5_PT2.5
2025-03,0.0,0.0,,0,SL1.5_PT2.5
2025-04,-14.494669171622576,-6163.037528992473,0.0,1,SL1.5_PT2.5
2025-05,4.509357887066723,1917.3491688972001,1.0,1,SL1.5_PT2.5
2025-06,-3.1595302092435618,-1343.4113619975587,0.0,2,SL1.5_PT2.5
2025-07,0.28525950750588797,121.29045716356246,1.0,1,SL1.5_PT2.5
2025-08,-2.1209430040617376,-901.8109469154076,0.0,1,SL1.5_PT2.5
2025-09,0.0,0.0,,0,SL1.5_PT2.5
2025-10,0.0,0.0,,0,SL1.5_PT2.5
2025-11,-0.26637869928983055,-113.26246230314268,0.5,2,SL1.5_PT2.5
2025-12,1.650089498327797,701.6071483922088,0.5,2,SL1.5_PT2.5
2020-12,-3.8484440425566997,-1783.2448869990392,0.0,1,SL1.5_PT2.5
2021-01,6.773893315395777,3138.8037570975075,1.0,3,SL1.5_PT2.5
2021-02,-3.584038148778009,-1660.7277208510234,0.0,1,SL1.5_PT2.5
2021-03,-2.3253488497012493,-1077.4916825772598,0.3333333333333333,3,SL1.5_PT2.5
2021-04,0.8447610117660074,391.4350158946539,0.6666666666666666,3,SL1.5_PT2.5
2021-05,0.0,0.0,,0,SL1.5_PT2.5
2021-06,3.1153662679891623,1443.560282308328,0.6666666666666666,3,SL1.5_PT2.5
2021-07,-4.843555390821461,-2244.347401200845,0.0,1,SL1.5_PT2.5
